,登入日期,登入時間(以小時為單位),登入成功次數
5603,2021/6/14,6,3890
7188,2021/6/14,7,5546
2379,2021/6/14,8,8447
6305,2021/6/14,9,12369
2635,2021/6/14,10,15653
7046,2021/6/14,11,17363
348,2021/6/14,12,17287
4660,2021/6/14,13,18416
5237,2021/6/14,14,19071
411,2021/6/14,15,20385
2637,2021/6/14,16,20555
9063,2021/6/14,17,20246
2157,2021/6/14,18,18989
3630,2021/6/14,19,20090
5232,2021/6/14,20,21596
6242,2021/6/14,21,22786
551,2021/6/14,22,22071
3218,2021/6/14,23,19065
6948,2021/6/15,0,15419
583,2021/6/15,1,11042
3779,2021/6/15,2,7655
6163,2021/6/15,3,4540
135,2021/6/15,4,3381
2523,2021/6/15,5,4481
5738,2021/6/15,6,7734
2071,2021/6/15,7,22903
4137,2021/6/15,8,32043
8500,2021/6/15,9,37557
6541,2021/6/15,10,19275
7343,2021/6/15,11,45116
4018,2021/6/15,12,65248
4930,2021/6/15,13,76175
239,2021/6/15,14,62455
2896,2021/6/15,15,59474
7968,2021/6/15,16,50559
547,2021/6/15,17,43517
3049,2021/6/15,18,40253
9301,2021/6/15,19,41026
5768,2021/6/15,20,41188
8684,2021/6/15,21,41075
2430,2021/6/15,22,37193
6159,2021/6/15,23,30016
8997,2021/6/16,0,21613
1794,2021/6/16,1,13534
6901,2021/6/16,2,8396
8544,2021/6/16,3,5692
2483,2021/6/16,4,4594
7888,2021/6/16,5,5881
9440,2021/6/16,6,10713
2698,2021/6/16,7,23573
7189,2021/6/16,8,31021
2352,2021/6/16,9,43951
8595,2021/6/16,10,45996
2938,2021/6/16,11,45523
6320,2021/6/16,12,47918
8344,2021/6/16,13,49129
2619,2021/6/16,14,45655
5875,2021/6/16,15,44956
8709,2021/6/16,16,38803
2540,2021/6/16,17,36023
7680,2021/6/16,18,32077
308,2021/6/16,19,33295
8398,2021/6/16,20,34383
1328,2021/6/16,21,34185
7088,2021/6/16,22,31003
8802,2021/6/16,23,25062
1798,2021/6/17,0,18430
6113,2021/6/17,1,11930
7458,2021/6/17,2,7457
1571,2021/6/17,3,4963
7050,2021/6/17,4,4417
8627,2021/6/17,5,5434
2184,2021/6/17,6,9007
6955,2021/6/17,7,19992
8920,2021/6/17,8,27816
2817,2021/6/17,9,41870
853,2021/6/17,10,45275
5179,2021/6/17,11,44227
8656,2021/6/17,12,48845
1963,2021/6/17,13,50826
3421,2021/6/17,14,47727
7165,2021/6/17,15,44583
2051,2021/6/17,16,39723
6879,2021/6/17,17,35632
8371,2021/6/17,18,32631
4509,2021/6/17,19,32577
445,2021/6/17,20,33224
6240,2021/6/17,21,33442
8605,2021/6/17,22,30727
1243,2021/6/17,23,25572
3777,2021/6/18,0,23209
8495,2021/6/18,1,13246
2009,2021/6/18,2,8455
4044,2021/6/18,3,5508
6422,2021/6/18,4,4443
1229,2021/6/18,5,6050
4553,2021/6/18,6,11204
9120,2021/6/18,7,27652
2201,2021/6/18,8,33876
5382,2021/6/18,9,44870
3775,2021/6/18,10,59917
8000,2021/6/18,11,71770
1108,2021/6/18,12,50257
4854,2021/6/18,13,49670
8755,2021/6/18,14,46491
715,2021/6/18,15,43096
5755,2021/6/18,16,36945
8350,2021/6/18,17,33050
2649,2021/6/18,18,30603
4413,2021/6/18,19,30215
3296,2021/6/18,20,30078
5405,2021/6/18,21,30216
1066,2021/6/18,22,27709
5739,2021/6/18,23,22981
5802,2021/6/19,0,16474
1030,2021/6/19,1,10760
4893,2021/6/19,2,6982
9100,2021/6/19,3,4566
1707,2021/6/19,4,3420
5959,2021/6/19,5,3482
7634,2021/6/19,6,5325
1898,2021/6/19,7,8812
5083,2021/6/19,8,12082
6856,2021/6/19,9,16561
7901,2021/6/19,10,20071
9019,2021/6/19,11,22154
4608,2021/6/19,12,22490
6690,2021/6/19,13,23894
697,2021/6/19,14,24268
4353,2021/6/19,15,24344
7476,2021/6/19,16,23199
1258,2021/6/19,17,22421
4344,2021/6/19,18,21047
7481,2021/6/19,19,21186
5466,2021/6/19,20,21504
9342,2021/6/19,21,21081
2553,2021/6/19,22,19735
8357,2021/6/19,23,16914
2751,2021/6/2,0,16593
3671,2021/6/2,1,10258
8808,2021/6/2,2,6342
2513,2021/6/2,3,4400
6221,2021/6/2,4,4027
204,2021/6/2,5,4750
4234,2021/6/2,6,8051
7120,2021/6/2,7,19195
960,2021/6/2,8,24254
3354,2021/6/2,9,38964
528,2021/6/2,10,40660
5944,2021/6/2,11,40268
5671,2021/6/2,12,42110
2588,2021/6/2,13,43390
6405,2021/6/2,14,39850
7847,2021/6/2,15,43628
4027,2021/6/2,16,34218
7573,2021/6/2,17,30926
28,2021/6/2,18,28217
5338,2021/6/2,19,29056
1703,2021/6/2,20,30364
5209,2021/6/2,21,30571
8062,2021/6/2,22,27338
1065,2021/6/2,23,22342
8936,2021/6/20,0,13350
1485,2021/6/20,1,7788
7630,2021/6/20,2,6413
37,2021/6/20,3,4286
4865,2021/6/20,4,3029
5868,2021/6/20,5,3010
1294,2021/6/20,6,3998
3292,2021/6/20,7,5821
6965,2021/6/20,8,8633
951,2021/6/20,9,12726
7569,2021/6/20,10,16604
2400,2021/6/20,11,18781
4754,2021/6/20,12,19333
448,2021/6/20,13,20136
3088,2021/6/20,14,20587
5566,2021/6/20,15,21047
1424,2021/6/20,16,20939
4118,2021/6/20,17,20763
4982,2021/6/20,18,20023
406,2021/6/20,19,21180
8419,2021/6/20,20,22250
1635,2021/6/20,21,22896
5192,2021/6/20,22,22496
284,2021/6/20,23,19764
2166,2021/6/21,0,15451
3778,2021/6/21,1,11577
6816,2021/6/21,2,6850
1367,2021/6/21,3,4478
4859,2021/6/21,4,3404
7931,2021/6/21,5,3886
2370,2021/6/21,6,6835
5906,2021/6/21,7,19583
241,2021/6/21,8,27325
2310,2021/6/21,9,46052
3018,2021/6/21,10,48212
3394,2021/6/21,11,48439
8501,2021/6/21,12,50095
2022,2021/6/21,13,50878
7477,2021/6/21,14,46255
231,2021/6/21,15,44409
3382,2021/6/21,16,38421
6769,2021/6/21,17,34427
9206,2021/6/21,18,33462
4218,2021/6/21,19,32602
796,2021/6/21,20,33194
6417,2021/6/21,21,32578
8585,2021/6/21,22,28751
1920,2021/6/21,23,23227
6038,2021/6/22,0,17088
8183,2021/6/22,1,10808
2107,2021/6/22,2,6745
5143,2021/6/22,3,4441
6562,2021/6/22,4,3696
2524,2021/6/22,5,4582
3997,2021/6/22,6,7873
9322,2021/6/22,7,18830
3025,2021/6/22,8,25901
7425,2021/6/22,9,40699
4278,2021/6/22,10,44765
8996,2021/6/22,11,42121
300,2021/6/22,12,44034
3829,2021/6/22,13,45944
8403,2021/6/22,14,43078
3119,2021/6/22,15,42547
6677,2021/6/22,16,35996
8128,2021/6/22,17,32112
2363,2021/6/22,18,28941
5539,2021/6/22,19,29662
3660,2021/6/22,20,29637
6415,2021/6/22,21,30593
925,2021/6/22,22,27283
5730,2021/6/22,23,22234
8504,2021/6/23,0,16531
1041,2021/6/23,1,10306
3602,2021/6/23,2,6512
8385,2021/6/23,3,4441
910,2021/6/23,4,4051
6648,2021/6/23,5,4248
8498,2021/6/23,6,7561
2273,2021/6/23,7,17475
5255,2021/6/23,8,24071
8149,2021/6/23,9,38064
7041,2021/6/23,10,42087
383,2021/6/23,11,40972
3419,2021/6/23,12,43850
7045,2021/6/23,13,44476
790,2021/6/23,14,42029
4829,2021/6/23,15,42805
9010,2021/6/23,16,35604
2752,2021/6/23,17,32764
4616,2021/6/23,18,30134
7417,2021/6/23,19,30744
6344,2021/6/23,20,30520
822,2021/6/23,21,30797
3661,2021/6/23,22,27561
6610,2021/6/23,23,22774
70,2021/6/24,0,16606
3510,2021/6/24,1,10489
5506,2021/6/24,2,6762
9159,2021/6/24,3,4393
2673,2021/6/24,4,3604
8483,2021/6/24,5,4642
1382,2021/6/24,6,8243
2711,2021/6/24,7,19523
8634,2021/6/24,8,26095
2616,2021/6/24,9,38904
8822,2021/6/24,10,40821
3415,2021/6/24,11,40471
6440,2021/6/24,12,42301
8,2021/6/24,13,44456
4041,2021/6/24,14,40894
6364,2021/6/24,15,38722
1914,2021/6/24,16,33965
4809,2021/6/24,17,31355
8387,2021/6/24,18,30180
509,2021/6/24,19,30413
8010,2021/6/24,20,30239
2838,2021/6/24,21,30287
4206,2021/6/24,22,27451
428,2021/6/24,23,22567
2804,2021/6/25,0,16779
5665,2021/6/25,1,10846
8776,2021/6/25,2,6959
3082,2021/6/25,3,4772
7470,2021/6/25,4,4155
8785,2021/6/25,5,5245
4834,2021/6/25,6,9076
8285,2021/6/25,7,21894
722,2021/6/25,8,29389
3624,2021/6/25,9,41920
3709,2021/6/25,10,47332
4939,2021/6/25,11,46212
8598,2021/6/25,12,48045
2138,2021/6/25,13,48424
7442,2021/6/25,14,44427
9381,2021/6/25,15,40981
1621,2021/6/25,16,37022
7217,2021/6/25,17,32509
1000,2021/6/25,18,30370
3811,2021/6/25,19,29276
2479,2021/6/25,20,29586
4164,2021/6/25,21,28523
9423,2021/6/25,22,25434
2122,2021/6/25,23,20749
5281,2021/6/26,0,15548
7441,2021/6/26,1,10142
1675,2021/6/26,2,6545
5348,2021/6/26,3,4381
7595,2021/6/26,4,3305
2345,2021/6/26,5,3421
5091,2021/6/26,6,5005
440,2021/6/26,7,7742
4046,2021/6/26,8,11440
7178,2021/6/26,9,16192
2993,2021/6/26,10,19684
7396,2021/6/26,11,21089
2922,2021/6/26,12,21704
6622,2021/6/26,13,21870
7782,2021/6/26,14,23444
2235,2021/6/26,15,23420
5850,2021/6/26,16,22302
8400,2021/6/26,17,21630
3736,2021/6/26,18,20655
8202,2021/6/26,19,21369
5669,2021/6/26,20,21326
7792,2021/6/26,21,21347
1362,2021/6/26,22,19671
5696,2021/6/26,23,17077
7005,2021/6/27,0,13120
1412,2021/6/27,1,9520
3495,2021/6/27,2,6540
5585,2021/6/27,3,4276
2841,2021/6/27,4,2851
5920,2021/6/27,5,2891
8836,2021/6/27,6,3699
1651,2021/6/27,7,5332
6766,2021/6/27,8,8221
8911,2021/6/27,9,12134
7650,2021/6/27,10,16028
1604,2021/6/27,11,18067
4105,2021/6/27,12,18903
9320,2021/6/27,13,20222
1830,2021/6/27,14,20450
4307,2021/6/27,15,20580
8167,2021/6/27,16,21558
1874,2021/6/27,17,21138
7586,2021/6/27,18,19987
8232,2021/6/27,19,21161
7309,2021/6/27,20,22685
1036,2021/6/27,21,23861
4562,2021/6/27,22,23513
6373,2021/6/27,23,20032
1462,2021/6/28,0,16123
4042,2021/6/28,1,11411
7531,2021/6/28,2,7597
2551,2021/6/28,3,4569
3356,2021/6/28,4,3277
7060,2021/6/28,5,3865
450,2021/6/28,6,6761
4760,2021/6/28,7,18608
8291,2021/6/28,8,26313
3712,2021/6/28,9,45623
185,2021/6/28,10,48521
3950,2021/6/28,11,46912
6164,2021/6/28,12,49438
1324,2021/6/28,13,51446
3438,2021/6/28,14,47205
7296,2021/6/28,15,44533
1466,2021/6/28,16,38362
3502,2021/6/28,17,34455
6906,2021/6/28,18,32538
1093,2021/6/28,19,33611
8644,2021/6/28,20,34110
5423,2021/6/28,21,34739
4790,2021/6/28,22,31646
1402,2021/6/28,23,25626
2701,2021/6/29,0,18045
5028,2021/6/29,1,11113
1018,2021/6/29,2,7085
2499,2021/6/29,3,4643
5621,2021/6/29,4,3772
694,2021/6/29,5,4940
4360,2021/6/29,6,8639
6902,2021/6/29,7,21831
1375,2021/6/29,8,27778
5752,2021/6/29,9,43038
2798,2021/6/29,10,44996
8677,2021/6/29,11,45107
73,2021/6/29,12,45519
3966,2021/6/29,13,48981
6806,2021/6/29,14,43704
1042,2021/6/29,15,53694
4002,2021/6/29,16,40145
7284,2021/6/29,17,35038
163,2021/6/29,18,32267
4047,2021/6/29,19,32285
2554,2021/6/29,20,32990
5562,2021/6/29,21,34195
563,2021/6/29,22,30894
5047,2021/6/29,23,24578
5071,2021/6/3,0,15944
7780,2021/6/3,1,10170
1978,2021/6/3,2,6544
4340,2021/6/3,3,4513
7874,2021/6/3,4,3896
1137,2021/6/3,5,5259
7452,2021/6/3,6,8716
695,2021/6/3,7,21864
2617,2021/6/3,8,25855
6981,2021/6/3,9,37868
4004,2021/6/3,10,40389
6388,2021/6/3,11,39737
1340,2021/6/3,12,40987
5554,2021/6/3,13,44386
8302,2021/6/3,14,41554
792,2021/6/3,15,42142
4873,2021/6/3,16,33529
9177,2021/6/3,17,30160
2470,2021/6/3,18,28403
6557,2021/6/3,19,29001
5778,2021/6/3,20,29923
8572,2021/6/3,21,30214
642,2021/6/3,22,27688
7103,2021/6/3,23,22582
4880,2021/6/30,0,18558
545,2021/6/30,1,11646
1296,2021/6/30,2,7326
7220,2021/6/30,3,5069
9015,2021/6/30,4,4180
3193,2021/6/30,5,6236
8738,2021/6/30,6,10550
351,2021/6/30,7,23802
3768,2021/6/30,8,30540
6691,2021/6/30,9,45683
3954,2021/6/30,10,50546
7658,2021/6/30,11,47715
3505,2021/6/30,12,49845
4717,2021/6/30,13,52216
116,2021/6/30,14,50526
2706,2021/6/30,15,52821
4290,2021/6/30,16,42097
9129,2021/6/30,17,37429
3310,2021/6/30,18,35137
7065,2021/6/30,19,36324
4061,2021/6/30,20,37851
5533,2021/6/30,21,38857
1266,2021/6/30,22,35422
7243,2021/6/30,23,29329
7133,2021/6/4,0,17498
1534,2021/6/4,1,11655
6581,2021/6/4,2,8575
7540,2021/6/4,3,6202
1178,2021/6/4,4,5233
5740,2021/6/4,5,6833
9060,2021/6/4,6,12390
2295,2021/6/4,7,32001
5847,2021/6/4,8,37063
7384,2021/6/4,9,52448
8242,2021/6/4,10,57196
1138,2021/6/4,11,57042
5099,2021/6/4,12,58766
7123,2021/6/4,13,59436
874,2021/6/4,14,53467
4394,2021/6/4,15,54678
7131,2021/6/4,16,44266
1771,2021/6/4,17,40000
4981,2021/6/4,18,37396
8126,2021/6/4,19,36522
6395,2021/6/4,20,34802
1200,2021/6/4,21,32912
6772,2021/6/4,22,29565
8637,2021/6/4,23,23157
879,2021/6/5,0,17699
3710,2021/6/5,1,11611
7856,2021/6/5,2,7418
178,2021/6/5,3,4932
2498,2021/6/5,4,3758
9150,2021/6/5,5,4508
780,2021/6/5,6,6608
3757,2021/6/5,7,10070
6773,2021/6/5,8,14162
1700,2021/6/5,9,19591
9119,2021/6/5,10,24704
3679,2021/6/5,11,26695
7454,2021/6/5,12,27315
400,2021/6/5,13,27701
5649,2021/6/5,14,28154
7628,2021/6/5,15,27947
1690,2021/6/5,16,26129
3277,2021/6/5,17,25282
7922,2021/6/5,18,23415
1987,2021/6/5,19,24655
24,2021/6/5,20,25077
4588,2021/6/5,21,23904
6520,2021/6/5,22,22049
611,2021/6/5,23,18369
3326,2021/6/6,0,15022
8735,2021/6/6,1,10205
9273,2021/6/6,2,6709
2767,2021/6/6,3,4428
6699,2021/6/6,4,3168
201,2021/6/6,5,3074
5231,2021/6/6,6,3880
6957,2021/6/6,7,5746
103,2021/6/6,8,8727
5483,2021/6/6,9,12639
2734,2021/6/6,10,16733
6483,2021/6/6,11,19066
7609,2021/6/6,12,20008
3561,2021/6/6,13,20688
4774,2021/6/6,14,20922
12,2021/6/6,15,21127
3360,2021/6/6,16,21788
5964,2021/6/6,17,21304
6820,2021/6/6,18,20618
5241,2021/6/6,19,21796
1435,2021/6/6,20,23009
4214,2021/6/6,21,23364
6874,2021/6/6,22,22697
3126,2021/6/6,23,19852
4891,2021/6/7,0,15996
8786,2021/6/7,1,11414
2061,2021/6/7,2,7645
5106,2021/6/7,3,4706
9373,2021/6/7,4,3522
3122,2021/6/7,5,4136
4390,2021/6/7,6,7201
34,2021/6/7,7,21966
3549,2021/6/7,8,28850
5250,2021/6/7,9,60403
3924,2021/6/7,10,49882
8094,2021/6/7,11,45695
2542,2021/6/7,12,49073
6511,2021/6/7,13,53262
8918,2021/6/7,14,46051
2093,2021/6/7,15,44401
6239,2021/6/7,16,40248
9391,2021/6/7,17,36033
3188,2021/6/7,18,33518
5701,2021/6/7,19,33019
4303,2021/6/7,20,33575
6212,2021/6/7,21,33853
1193,2021/6/7,22,30268
6165,2021/6/7,23,24088
7277,2021/6/8,0,17249
1970,2021/6/8,1,10820
7013,2021/6/8,2,6702
8009,2021/6/8,3,3051
3079,2021/6/8,4,2606
4345,2021/6/8,5,3804
8701,2021/6/8,6,6465
1379,2021/6/8,7,14980
4241,2021/6/8,8,20382
9198,2021/6/8,9,31897
6490,2021/6/8,10,39971
2338,2021/6/8,11,42288
4191,2021/6/8,12,42140
8839,2021/6/8,13,43063
2451,2021/6/8,14,41580
6824,2021/6/8,15,39425
6656,2021/6/8,16,33625
2584,2021/6/8,17,31035
6304,2021/6/8,18,29343
9161,2021/6/8,19,29139
6754,2021/6/8,20,30094
915,2021/6/8,21,29893
4617,2021/6/8,22,27197
8608,2021/6/8,23,22406
1008,2021/6/9,0,16134
2893,2021/6/9,1,10344
6939,2021/6/9,2,6287
2126,2021/6/9,3,4373
3564,2021/6/9,4,3764
9153,2021/6/9,5,4553
1720,2021/6/9,6,7850
5455,2021/6/9,7,19341
6341,2021/6/9,8,23783
1820,2021/6/9,9,37960
433,2021/6/9,10,38823
3514,2021/6/9,11,38638
9038,2021/6/9,12,40390
1142,2021/6/9,13,41486
5024,2021/6/9,14,38370
7513,2021/6/9,15,41357
2859,2021/6/9,16,32941
5620,2021/6/9,17,30415
6231,2021/6/9,18,28246
1881,2021/6/9,19,28921
9441,2021/6/9,20,29549
2389,2021/6/9,21,29929
8305,2021/6/9,22,27416
519,2021/6/9,23,22279
2297,2021/7/1,0,22786
5795,2021/7/1,1,13835
8170,2021/7/1,2,8730
3978,2021/7/1,3,5579
5132,2021/7/1,4,4367
327,2021/7/1,5,5838
3291,2021/7/1,6,11374
6170,2021/7/1,7,25155
317,2021/7/1,8,38803
2992,2021/7/1,9,51932
2681,2021/7/1,10,52830
4737,2021/7/1,11,49304
8203,2021/7/1,12,50906
1911,2021/7/1,13,52592
5803,2021/7/1,14,47951
212,2021/7/1,15,44445
3173,2021/7/1,16,39083
6775,2021/7/1,17,36788
190,2021/7/1,18,34471
4386,2021/7/1,19,34887
1253,2021/7/1,20,36005
7508,2021/7/1,21,36685
8481,2021/7/1,22,33433
1661,2021/7/1,23,27081
5769,2021/7/10,0,18874
8320,2021/7/10,1,12293
2350,2021/7/10,2,7714
6853,2021/7/10,3,5051
191,2021/7/10,4,3967
3412,2021/7/10,5,4556
6202,2021/7/10,6,7810
1482,2021/7/10,7,11372
3799,2021/7/10,8,14850
8030,2021/7/10,9,20230
5310,2021/7/10,10,24306
8226,2021/7/10,11,25756
3271,2021/7/10,12,26311
4630,2021/7/10,13,26513
282,2021/7/10,14,26833
2977,2021/7/10,15,26577
7304,2021/7/10,16,25495
8593,2021/7/10,17,24592
3759,2021/7/10,18,24040
5924,2021/7/10,19,24208
4619,2021/7/10,20,25169
8913,2021/7/10,21,25294
2149,2021/7/10,22,22785
6189,2021/7/10,23,19687
7042,2021/7/11,0,15315
2740,2021/7/11,1,10532
4162,2021/7/11,2,1953
7550,2021/7/11,3,4842
2289,2021/7/11,4,3441
5884,2021/7/11,5,3140
124,2021/7/11,6,4324
4471,2021/7/11,7,6463
5011,2021/7/11,8,9971
9028,2021/7/11,9,14229
8032,2021/7/11,10,18048
2049,2021/7/11,11,19890
6416,2021/7/11,12,20370
9239,2021/7/11,13,21882
1738,2021/7/11,14,21251
5328,2021/7/11,15,21438
8091,2021/7/11,16,22140
2278,2021/7/11,17,21854
7009,2021/7/11,18,21121
9326,2021/7/11,19,22332
6167,2021/7/11,20,23654
625,2021/7/11,21,25160
6017,2021/7/11,22,24640
6854,2021/7/11,23,21222
1543,2021/7/12,0,17127
4764,2021/7/12,1,11697
8956,2021/7/12,2,7946
1737,2021/7/12,3,4725
5472,2021/7/12,4,3486
9424,2021/7/12,5,4368
612,2021/7/12,6,7781
6185,2021/7/12,7,24032
6708,2021/7/12,8,32593
3318,2021/7/12,9,47901
2638,2021/7/12,10,50982
1751,2021/7/12,11,50394
6717,2021/7/12,12,52896
961,2021/7/12,13,53109
1943,2021/7/12,14,47232
7925,2021/7/12,15,44228
1134,2021/7/12,16,40162
6396,2021/7/12,17,36580
8817,2021/7/12,18,33859
3352,2021/7/12,19,34093
921,2021/7/12,20,34587
4991,2021/7/12,21,34980
6510,2021/7/12,22,31729
889,2021/7/12,23,25317
2672,2021/7/13,0,17631
6461,2021/7/13,1,10874
898,2021/7/13,2,6757
4468,2021/7/13,3,4349
8277,2021/7/13,4,3414
533,2021/7/13,5,4646
3792,2021/7/13,6,9069
8362,2021/7/13,7,21747
1477,2021/7/13,8,27716
5638,2021/7/13,9,39479
3151,2021/7/13,10,40331
6858,2021/7/13,11,42486
513,2021/7/13,12,46138
3585,2021/7/13,13,46600
5680,2021/7/13,14,42464
719,2021/7/13,15,42155
4059,2021/7/13,16,35186
8618,2021/7/13,17,32472
1059,2021/7/13,18,30593
6799,2021/7/13,19,30306
2337,2021/7/13,20,31742
4966,2021/7/13,21,32928
415,2021/7/13,22,29694
2115,2021/7/13,23,23644
7733,2021/7/14,0,16718
451,2021/7/14,1,10141
3170,2021/7/14,2,6523
7485,2021/7/14,3,4138
8266,2021/7/14,4,3562
3735,2021/7/14,5,5021
6917,2021/7/14,6,8602
2456,2021/7/14,7,21344
4877,2021/7/14,8,26451
7807,2021/7/14,9,40090
6228,2021/7/14,10,43596
6943,2021/7/14,11,42024
5163,2021/7/14,12,43312
4252,2021/7/14,13,44059
363,2021/7/14,14,42234
2148,2021/7/14,15,41098
6580,2021/7/14,16,34663
613,2021/7/14,17,32480
3783,2021/7/14,18,29564
7762,2021/7/14,19,30051
4499,2021/7/14,20,31705
8172,2021/7/14,21,32749
2884,2021/7/14,22,29853
7326,2021/7/14,23,24083
8072,2021/7/15,0,17702
2812,2021/7/15,1,10900
3863,2021/7/15,2,6952
8650,2021/7/15,3,4725
2452,2021/7/15,4,3768
6627,2021/7/15,5,5532
9117,2021/7/15,6,10696
4163,2021/7/15,7,24932
7670,2021/7/15,8,38221
994,2021/7/15,9,53743
8248,2021/7/15,10,56120
2468,2021/7/15,11,54776
4925,2021/7/15,12,50858
7722,2021/7/15,13,48975
2695,2021/7/15,14,45482
6014,2021/7/15,15,42853
8939,2021/7/15,16,36919
1902,2021/7/15,17,33525
6883,2021/7/15,18,31879
386,2021/7/15,19,32438
8865,2021/7/15,20,32930
1838,2021/7/15,21,34137
4729,2021/7/15,22,30329
7253,2021/7/15,23,24328
2543,2021/7/16,0,17606
5785,2021/7/16,1,10928
7316,2021/7/16,2,6433
1712,2021/7/16,3,4320
3838,2021/7/16,4,3633
8129,2021/7/16,5,4854
1864,2021/7/16,6,8765
6244,2021/7/16,7,20902
8778,2021/7/16,8,27273
2567,2021/7/16,9,41159
2200,2021/7/16,10,42905
3763,2021/7/16,11,41508
9046,2021/7/16,12,42274
2193,2021/7/16,13,44670
6383,2021/7/16,14,40721
8511,2021/7/16,15,37737
1627,2021/7/16,16,33540
4835,2021/7/16,17,30955
5479,2021/7/16,18,28733
3746,2021/7/16,19,28614
1275,2021/7/16,20,27793
4373,2021/7/16,21,28177
6659,2021/7/16,22,25048
1805,2021/7/16,23,20417
6315,2021/7/17,0,15293
6826,2021/7/17,1,10068
1414,2021/7/17,2,6337
5615,2021/7/17,3,4341
8180,2021/7/17,4,3196
1478,2021/7/17,5,3376
6989,2021/7/17,6,5311
7743,2021/7/17,7,8442
1623,2021/7/17,8,11890
8071,2021/7/17,9,16350
1831,2021/7/17,10,19785
9210,2021/7/17,11,21865
740,2021/7/17,12,22358
4298,2021/7/17,13,22404
6432,2021/7/17,14,22196
1170,2021/7/17,15,22819
5306,2021/7/17,16,21698
8307,2021/7/17,17,21116
1888,2021/7/17,18,20272
6169,2021/7/17,19,20618
4669,2021/7/17,20,21453
8027,2021/7/17,21,21331
1064,2021/7/17,22,20003
3632,2021/7/17,23,17258
4215,2021/7/18,0,14293
1303,2021/7/18,1,9548
4355,2021/7/18,2,6171
6005,2021/7/18,3,4040
1232,2021/7/18,4,2859
4459,2021/7/18,5,2869
6200,2021/7/18,6,4069
1075,2021/7/18,7,5938
7697,2021/7/18,8,9047
6892,2021/7/18,9,13109
8044,2021/7/18,10,16502
359,2021/7/18,11,18144
2323,2021/7/18,12,19023
6997,2021/7/18,13,19095
559,2021/7/18,14,19555
5318,2021/7/18,15,19881
7675,2021/7/18,16,20490
1924,2021/7/18,17,19806
3969,2021/7/18,18,19295
7478,2021/7/18,19,20408
6028,2021/7/18,20,22241
8095,2021/7/18,21,23208
3607,2021/7/18,22,22748
7787,2021/7/18,23,19999
9447,2021/7/19,0,15583
2168,2021/7/19,1,10937
6678,2021/7/19,2,7004
324,2021/7/19,3,4071
4266,2021/7/19,4,3028
8509,2021/7/19,5,3614
436,2021/7/19,6,7010
4369,2021/7/19,7,19448
7822,2021/7/19,8,26889
1279,2021/7/19,9,43451
6940,2021/7/19,10,45267
2835,2021/7/19,11,44444
5694,2021/7/19,12,45556
623,2021/7/19,13,46392
3142,2021/7/19,14,39990
8493,2021/7/19,15,38121
587,2021/7/19,16,35637
3162,2021/7/19,17,32295
7832,2021/7/19,18,30176
730,2021/7/19,19,30221
7418,2021/7/19,20,31544
1626,2021/7/19,21,32498
3970,2021/7/19,22,29863
9192,2021/7/19,23,23353
3949,2021/7/2,0,18907
6848,2021/7/2,1,11508
2021,2021/7/2,2,7203
5026,2021/7/2,3,4866
9145,2021/7/2,4,3711
1994,2021/7/2,5,5276
6654,2021/7/2,6,9029
20,2021/7/2,7,21507
3115,2021/7/2,8,27785
8582,2021/7/2,9,41069
4410,2021/7/2,10,43229
7551,2021/7/2,11,43357
1204,2021/7/2,12,45560
4905,2021/7/2,13,47025
7717,2021/7/2,14,43388
1120,2021/7/2,15,42262
8153,2021/7/2,16,36322
7479,2021/7/2,17,32275
4423,2021/7/2,18,30180
5075,2021/7/2,19,29344
5654,2021/7/2,20,29498
7826,2021/7/2,21,29476
1396,2021/7/2,22,26333
4741,2021/7/2,23,21643
1201,2021/7/20,0,16616
4401,2021/7/20,1,10311
8837,2021/7/20,2,6419
2563,2021/7/20,3,4325
5480,2021/7/20,4,3457
7973,2021/7/20,5,4888
3219,2021/7/20,6,9091
7493,2021/7/20,7,23611
885,2021/7/20,8,28800
3552,2021/7/20,9,45648
1535,2021/7/20,10,43762
3370,2021/7/20,11,48796
7285,2021/7/20,12,48432
2268,2021/7/20,13,47440
7443,2021/7/20,14,43225
8906,2021/7/20,15,42094
1986,2021/7/20,16,34682
5899,2021/7/20,17,32574
9366,2021/7/20,18,30378
2504,2021/7/20,19,31026
860,2021/7/20,20,31438
4719,2021/7/20,21,31888
8066,2021/7/20,22,29427
1085,2021/7/20,23,23315
3562,2021/7/21,0,16455
8402,2021/7/21,1,9991
1267,2021/7/21,2,6267
5302,2021/7/21,3,4039
9218,2021/7/21,4,3357
2006,2021/7/21,5,4348
5162,2021/7/21,6,8784
6438,2021/7/21,7,19746
3027,2021/7/21,8,27944
6277,2021/7/21,9,39280
4460,2021/7/21,10,42104
8053,2021/7/21,11,43224
426,2021/7/21,12,46990
4788,2021/7/21,13,46689
6302,2021/7/21,14,40157
2536,2021/7/21,15,47785
3141,2021/7/21,16,35869
8838,2021/7/21,17,32047
3455,2021/7/21,18,29776
7342,2021/7/21,19,30540
3181,2021/7/21,20,30869
7143,2021/7/21,21,31600
552,2021/7/21,22,28297
4744,2021/7/21,23,22843
8662,2021/7/22,0,16047
784,2021/7/22,1,9749
3427,2021/7/22,2,6052
7179,2021/7/22,3,4083
1300,2021/7/22,4,3260
3408,2021/7/22,5,4331
8258,2021/7/22,6,7521
2292,2021/7/22,7,18655
